Team,W,PIE,eFG%,OREB%,DREB%,TS%,OffRtg,DefRtg
Cleveland Cavaliers,64,54.6,57.8,29.6,70.0,60.7,121.0,111.8
Boston Celtics,61,54.2,56.1,29.1,71.7,59.1,119.5,110.1
Oklahoma City Thunder,68,56.2,56.0,28.1,70.4,59.3,119.2,106.6
Denver Nuggets,50,52.9,57.3,31.1,70.9,60.4,118.9,115.1
New York Knicks,51,52.7,55.6,30.5,71.0,58.9,117.3,113.3
Memphis Grizzlies,48,52.4,55.4,33.0,70.2,58.8,117.2,112.6
Sacramento Kings,40,50.2,54.8,29.4,72.8,58.2,115.9,115.3
Minnesota Timberwolves,49,52.4,55.4,30.0,70.9,58.8,115.7,110.8
Indiana Pacers,50,52.1,56.2,25.4,70.5,59.4,115.4,113.3
Milwaukee Bucks,48,51.3,56.8,23.5,72.5,59.8,115.1,112.7
Los Angeles Lakers,50,51.1,55.7,27.3,70.2,59.3,115.0,113.8
Houston Rockets,52,51.5,52.3,36.3,71.5,55.3,114.9,110.3
Phoenix Suns,36,49.5,56.1,26.4,70.9,59.5,114.7,117.7
Detroit Pistons,44,50.9,54.7,30.5,71.4,58.0,114.6,112.5
LA Clippers,50,52.1,55.4,28.2,73.4,58.9,114.3,109.4
Golden State Warriors,48,51.5,53.6,31.4,71.6,56.8,114.2,111.0
Atlanta Hawks,40,49.8,54.6,30.0,71.5,57.9,113.7,114.8
Dallas Mavericks,39,49.6,54.9,27.1,69.4,58.3,113.7,115.0
San Antonio Spurs,34,49.3,54.4,27.8,69.0,57.5,113.5,116.3
Chicago Bulls,39,49.5,55.3,26.0,72.2,58.5,113.2,114.8
Miami Heat,37,50.5,54.4,26.3,72.4,57.6,112.4,112.0
Portland Trail Blazers,36,47.3,52.1,33.2,68.2,55.5,111.0,113.7
Philadelphia 76ers,24,45.9,52.7,27.9,67.8,56.3,111.0,117.3
Utah Jazz,17,45.0,53.3,31.1,70.5,56.8,110.2,119.4
New Orleans Pelicans,21,45.5,51.9,30.3,68.2,55.2,109.7,119.1
Toronto Raptors,30,47.7,52.2,31.1,69.6,55.3,109.6,113.6
Orlando Magic,41,49.7,51.0,30.2,72.0,55.0,108.9,109.1
Brooklyn Nets,26,45.2,51.6,29.4,69.9,55.2,108.1,115.4
Charlotte Hornets,19,45.0,50.3,30.8,70.5,53.7,106.7,115.7
Washington Wizards,18,43.7,51.2,27.2,68.5,54.6,105.8,118.0
