,Probability
Cleveland Cavaliers,69.5
Indiana Pacers,53.300000000000004
Detroit Pistons,42.00000000000001
Boston Celtics,63.3
Oklahoma City Thunder,56.99999999999999
LA Clippers,52.400000000000006
Minnesota Timberwolves,46.3
Houston Rockets,57.49999999999999
New York Knicks,57.99999999999999
Orlando Magic,36.7
Denver Nuggets,47.599999999999994
Milwaukee Bucks,46.699999999999996
Memphis Grizzlies,43.00000000000001
Los Angeles Lakers,53.7
Golden State Warriors,42.50000000000001
Miami Heat,30.5
